A,2016-08-16,48.27,48.54,48.117,48.28,3173758.0,0.0,1.0,48.27,48.54,48.117,48.28,3173758.0
AA,2016-08-16,10.57,10.58,10.29,10.29,13773974.0,0.0,1.0,10.57,10.58,10.29,10.29,13773974.0
AAL,2016-08-16,35.67,36.79,35.63,36.75,9320617.0,0.0,1.0,35.67,36.79,35.63,36.75,9320617.0
AAMC,2016-08-16,13.52,13.89,13.4827,13.71,5695.0,0.0,1.0,13.52,13.89,13.4827,13.71,5695.0
AAN,2016-08-16,25.03,25.09,24.5314,24.93,504836.0,0.0,1.0,25.03,25.09,24.5314,24.93,504836.0
AAOI,2016-08-16,14.02,14.18,13.92,14.0,255779.0,0.0,1.0,14.02,14.18,13.92,14.0,255779.0
AAON,2016-08-16,27.29,27.44,27.02,27.04,80690.0,0.0,1.0,27.29,27.44,27.02,27.04,80690.0
AAP,2016-08-16,162.0,165.4,160.34,160.4,3029802.0,0.0,1.0,162.0,165.4,160.34,160.4,3029802.0
AAPL,2016-08-16,109.63,110.23,109.21,109.39,33502732.0,0.0,1.0,109.63,110.23,109.21,109.39,33502732.0
AAT,2016-08-16,44.63,44.948,44.25,44.51,100709.0,0.0,1.0,44.63,44.948,44.25,44.51,100709.0
AAWW,2016-08-16,35.42,35.94,34.77,35.06,236951.0,0.0,1.0,35.42,35.94,34.77,35.06,236951.0
ABAX,2016-08-16,49.61,49.8,48.9,49.48,131874.0,0.0,1.0,49.61,49.8,48.9,49.48,131874.0
ABBV,2016-08-16,67.13,67.61,66.5,66.74,7133138.0,0.0,1.0,67.13,67.61,66.5,66.74,7133138.0
ABC,2016-08-16,88.99,90.12,88.99,89.46,1554409.0,0.0,1.0,88.99,90.12,88.99,89.46,1554409.0
ABCB,2016-08-16,33.42,33.59,33.21,33.49,66240.0,0.0,1.0,33.42,33.59,33.21,33.49,66240.0
ABCO,2016-08-16,41.32,41.89,41.23,41.38,153747.0,0.0,1.0,41.32,41.89,41.23,41.38,153747.0
ABFS,2014-04-30,37.92,39.61,37.35,39.42,419301.0,0.0,1.0,37.92,39.61,37.35,39.42,419301.0
ABG,2016-08-16,56.69,56.785,55.85,55.94,117446.0,0.0,1.0,56.69,56.785,55.85,55.94,117446.0
ABM,2016-08-16,38.17,38.33,37.9,37.99,169475.0,0.0,1.0,38.17,38.33,37.9,37.99,169475.0
ABMD,2016-08-16,122.8,123.26,121.8301,122.46,250384.0,0.0,1.0,122.8,123.26,121.8301,122.46,250384.0
ABT,2016-08-16,45.02,45.08,44.82,44.92,7569255.0,0.0,1.0,45.02,45.08,44.82,44.92,7569255.0
ACAD,2016-08-16,32.82,33.42,32.3,32.37,1974202.0,0.0,1.0,32.82,33.42,32.3,32.37,1974202.0
ACAS,2016-08-16,16.5,16.5,16.415,16.45,2457955.0,0.0,1.0,16.5,16.5,16.415,16.45,2457955.0
ACAT,2016-08-16,15.7,16.17,15.4001,15.49,74843.0,0.0,1.0,15.7,16.17,15.4001,15.49,74843.0
ACC,2016-08-16,51.17,51.3,50.34,50.35,927070.0,0.0,1.0,51.17,51.3,50.34,50.35,927070.0
ACCL,2014-04-29,12.49,12.51,12.48,12.51,406506.0,0.0,1.0,12.49,12.51,12.48,12.51,406506.0
ACCO,2016-08-16,10.28,10.28,10.14,10.18,360222.0,0.0,1.0,10.28,10.28,10.14,10.18,360222.0
ACE,2016-01-14,110.44,112.35,109.81,111.02,13089138.0,0.0,1.0,110.44,112.35,109.81,111.02,13089138.0
ACET,2016-08-16,24.39,24.595,24.15,24.21,151536.0,0.0,1.0,24.39,24.595,24.15,24.21,151536.0
ACFN,2015-07-23,0.32,0.3475,0.26,0.26,333913.0,0.0,1.0,0.32,0.3475,0.26,0.26,333913.0
ACGL,2016-08-16,78.5,80.97,78.465,80.28,1054303.0,0.0,1.0,78.5,80.97,78.465,80.28,1054303.0
ACHC,2016-08-16,53.83,54.28,52.68,52.72,898413.0,0.0,1.0,53.83,54.28,52.68,52.72,898413.0
ACHN,2016-08-16,8.81,8.91,8.74,8.82,1072768.0,0.0,1.0,8.81,8.91,8.74,8.82,1072768.0
ACI,2016-01-11,0.575,0.575,0.575,0.575,2256.0,0.0,1.0,0.575,0.575,0.575,0.575,2256.0
ACIW,2016-08-16,18.51,18.59,18.14,18.16,417577.0,0.0,1.0,18.51,18.59,18.14,18.16,417577.0
ACLS,2016-08-16,11.77,11.94,11.7,11.75,120308.0,0.0,1.0,11.77,11.94,11.7,11.75,120308.0
ACM,2016-08-16,34.91,34.955,33.32,33.44,4804626.0,0.0,1.0,34.91,34.955,33.32,33.44,4804626.0
ACN,2016-08-16,113.1,113.26,112.34,112.98,1994653.0,0.0,1.0,113.1,113.26,112.34,112.98,1994653.0
ACO,2014-05-08,45.74,45.77,45.73,45.73,194223.0,0.0,1.0,45.74,45.77,45.73,45.73,194223.0
ACOR,2016-08-16,24.22,24.35,23.92,24.05,364882.0,0.0,1.0,24.22,24.35,23.92,24.05,364882.0
